function_name,start_address,end_address,size_bytes
FUN_80022938,0x80022938,0x80022960,40
LAB_80012578,0x80012578,0x800125A4,44
FUN_80027738,0x80027738,0x8002774C,20
FUN_80022298,0x80022298,0x800222D0,56
FUN_80027900,0x80027900,0x80027948,72
FUN_80012704,0x80012704,0x80012848,324
FUN_80087690,0x80087690,0x800876A8,24
LAB_80012848,0x80012848,0x800128A8,96
LAB_80022284,0x80022284,0x80022298,20
FUN_80022350,0x80022350,0x80022384,52
FUN_80030988,0x80030988,0x8003099C,20
LAB_80013018,0x80013018,0x80013028,16
LAB_80013028,0x80013028,0x800130E0,184
FUN_80022988,0x80022988,0x800229E0,88
FUN_80013138,0x80013138,0x80013188,80
FUN_80013188,0x80013188,0x800131AC,36
LAB_80013224,0x80013224,0x8001324C,40
LAB_80013250,0x80013250,0x8001325C,12
LAB_80013340,0x80013340,0x80013438,248
LAB_80013438,0x80013438,0x80013444,12
LAB_80013444,0x80013444,0x8001344C,8
FUN_80018100,0x80018100,0x80018158,88
LAB_80013470,0x80013470,0x80013474,4
LAB_80013474,0x80013474,0x80013478,4
LAB_80013478,0x80013478,0x80013480,8
FUN_80013480,0x80013480,0x800134AC,44
LAB_80013518,0x80013518,0x80013538,32
LAB_80013538,0x80013538,0x80013588,80
LAB_80013588,0x80013588,0x800135E0,88
FUN_80013610,0x80013610,0x80013698,136
FUN_80013698,0x80013698,0x800136CC,52
FUN_80013724,0x80013724,0x80013778,84
FUN_80013778,0x80013778,0x800137EC,116
LAB_80013870,0x80013870,0x800138D0,96
LAB_80013940,0x80013940,0x800139AC,108
LAB_80023220,0x80023220,0x80023448,552
FUN_80076530,0x80076530,0x80076534,4
LAB_80023448,0x80023448,0x800234B4,108
LAB_80023548,0x80023548,0x8002354C,4
FUN_80063978,0x80063978,0x800639BC,68
LAB_80023668,0x80023668,0x8002367C,20
FUN_80027600,0x80027600,0x8002763C,60
LAB_80014330,0x80014330,0x80014348,24
FUN_80024414,0x80024414,0x80024438,36
LAB_80023940,0x80023940,0x8002394C,12
LAB_80014270,0x80014270,0x80014280,16
LAB_80014208,0x80014208,0x80014210,8
LAB_80014210,0x80014210,0x80014244,52
LAB_80014244,0x80014244,0x80014270,44
LAB_80014280,0x80014280,0x80014294,20
LAB_80014294,0x80014294,0x800142AC,24
FUN_80014348,0x80014348,0x800143B4,108
LAB_80014498,0x80014498,0x800144B4,28
FUN_80076544,0x80076544,0x80076560,28
LAB_80014548,0x80014548,0x8001457C,52
LAB_80014500,0x80014500,0x80014530,48
LAB_80014530,0x80014530,0x80014548,24
FUN_80063774,0x80063774,0x80063784,16
FUN_80014660,0x80014660,0x80014A3C,988
LAB_80015094,0x80015094,0x800150E8,84
LAB_80024708,0x80024708,0x8002484C,324
LAB_80024880,0x80024880,0x800248FC,124
LAB_80015024,0x80015024,0x80015094,112
LAB_80024870,0x80024870,0x8002487C,12
FUN_80015168,0x80015168,0x80015268,256
FUN_80027998,0x80027998,0x800279A4,12
LAB_80015268,0x80015268,0x80015290,40
LAB_80015290,0x80015290,0x800152C4,52
LAB_80015378,0x80015378,0x80015440,200
LAB_80025094,0x80025094,0x800250DC,72
LAB_80015500,0x80015500,0x80015508,8
LAB_80015508,0x80015508,0x80015520,24
LAB_80015520,0x80015520,0x80015530,16
LAB_80015530,0x80015530,0x80015538,8
LAB_80015538,0x80015538,0x8001553C,4
LAB_80015548,0x80015548,0x80015588,64
LAB_80015588,0x80015588,0x800155A8,32
LAB_80015600,0x80015600,0x8001569C,156
LAB_80015800,0x80015800,0x80015820,32
LAB_80015874,0x80015874,0x800158E4,112
LAB_80015994,0x80015994,0x80015A34,160
LAB_80025248,0x80025248,0x80025290,72
LAB_80025374,0x80025374,0x8002537C,8
FUN_80041360,0x80041360,0x80041388,40
LAB_80025530,0x80025530,0x80025548,24
FUN_80076404,0x80076404,0x80076440,60
FUN_80074664,0x80074664,0x800746CC,104
LAB_80016008,0x80016008,0x80016044,60
FUN_80016044,0x80016044,0x8001607C,56
FUN_80048590,0x80048590,0x800485A4,20
LAB_80016400,0x80016400,0x8001640C,12
LAB_80016410,0x80016410,0x8001643C,44
LAB_80016448,0x80016448,0x8001659C,340
FUN_80077900,0x80077900,0x80077918,24
FUN_80027098,0x80027098,0x8002712C,148
